Timestamp,Presentation was well organized,Speaker spoke clearly and was easy to understand.,Presenter was enthusiastic about the topic.,I learned something new today,What was something new you learned from this presentation that you didn't know before?,What worked well for the presentation/presenter?,Suggestions for improvement. What are some changes would you advise the presenter to make their presentation more effective?,Additional comments for the speaker
1/31/19 0:00,1,1,1,1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
1/31/19 2:24,1,1,1,2,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
1/31/19 4:48,1,1,1,3,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
1/31/19 7:12,1,1,1,4,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
1/31/19 9:36,1,1,1,5,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
1/31/19 12:00,1,1,2,1,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
1/31/19 14:24,1,1,2,2,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
1/31/19 16:48,1,1,2,3,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
1/31/19 19:12,1,1,2,4,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
1/31/19 21:36,1,1,2,5,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/1/19 0:00,1,1,3,1,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/1/19 2:24,1,1,3,2,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/1/19 4:48,1,1,3,3,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/1/19 7:12,1,1,3,4,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/1/19 9:36,1,1,3,5,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/1/19 12:00,1,1,4,1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/1/19 14:24,1,1,4,2,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/1/19 16:48,1,1,4,3,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/1/19 19:12,1,1,4,4,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/1/19 21:36,1,1,4,5,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/2/19 0:00,1,1,5,1,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/2/19 2:24,1,1,5,2,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/2/19 4:48,1,1,5,3,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/2/19 7:12,1,1,5,4,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/2/19 9:36,1,1,5,5,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/2/19 12:00,1,2,1,1,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/2/19 14:24,1,2,1,2,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/2/19 16:48,1,2,1,3,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/2/19 19:12,1,2,1,4,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/2/19 21:36,1,2,1,5,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/3/19 0:00,1,2,2,1,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/3/19 2:24,1,2,2,2,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/3/19 4:48,1,2,2,3,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/3/19 7:12,1,2,2,4,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/3/19 9:36,1,2,2,5,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/3/19 12:00,1,2,3,1,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",
2/3/19 14:24,1,2,3,2,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, Ôand what is the use of a","book,Õ thought Alice Ôwithout pictures or conversations?Õ  So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of","getting up and picking the daisies, when suddenly a White Rabbit with pink eyes ran close by her.  There was nothing so very remarkable in that; nor did Alice think it so very much out of the way to hear the Rabbit say to itself, ÔOh dear! Oh dear! I","shall be late!Õ (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually took a watch out of its waistcoat-pocket, and looked at it,"
2/3/19 16:48,1,2,3,3,"and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and","fortunately was just in time to see it pop down a large rabbit-hole under the hedge.  In another moment down went Alice after it, never once considering how in the world she was to get out again.  The rabbit-hole went straight on like a tunnel for","some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.  Either the well was very deep, or she fell very slowly, for she had plenty of",
2/3/19 19:12,1,2,3,4,"time as she went down to look about her and to wonder what was going to happen next. First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that","they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs. She took down a jar from one of the shelves as she passed; it was labelled ÔORANGE MARMALADEÕ, but to her great disappointment it was empty:","she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.  ÔWell!Õ thought Alice to herself, Ôafter such a fall as this, I shall think nothing of tumbling down stairs! How brave",